"uuid","name","description","class","shortname","child.1","child.2","child.3","child.4","child.5","child.6","child.7","child.8","child.9","child.10","child.11","child.12","child.13","child.14","child.15","child.16","child.17","child.18","child.19","child.20","child.21","child.22","child.23","child.24","child.25","child.26","child.27","child.28","child.29","child.30","child.31","child.32","child.33","child.34","child.35","child.36","child.37","child.38","child.39","child.40","child.41","child.42","child.43","child.44","child.45","child.46","child.47","child.48","child.49","child.50","child.51","child.52","child.53","child.54","child.55","child.56","child.57","child.58","child.59","child.60","child.61","child.62","child.63","child.64","child.65","child.66","child.67","child.68","reference-term-source","reference-term-code","reference-term-relationship"
"011f817f-236c-4ed6-afd3-81307ed0f21e","Tuberculosis Family Member Screening Template",,"Misc","Tuberculosis - Family Member Screening","Tuberculosis, Contact Screening","Tuberculosis, Under 5 Year Mantoux Screening","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"e9303ce2-aca8-4131-ae09-227742a9c99c","Tuberculosis  Ward Template",,"Misc","Tuberculosis  Ward - Template","TB Ward, Ward Patient","TB Ward, Patient Type","TB Ward, Indication","TB Ward, Admit Weight","TB Ward, Discharge Weight","TB Ward, Total Days Of Admission","TB Ward, Outcome","TB Ward, Nutrition Screening","TB Ward, TB Screening","TB Ward, HIV Screening","TB Ward, HBsAg Screening","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"d076669c-398b-490a-9cbb-3327ee7e4d01","Nutritional Supplement, For Patient",,"Misc","For Patient","Nutritional Supplement, Breakfast","Nutritional Supplement, Lunch","Nutritional Supplement, Dinner","Nutritional Supplement, Eggs","Nutritional Supplement, Milk","Nutritional Supplement, Banana","Nutritional Supplement, Apple","Nutritional Supplement, Ankurit","Nutritional Supplement, Therapeutic Mix","Nutritional Supplement, Sattu","Nutritional Supplement, Chana","Nutritional Supplement, Any other","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"af7c4c98-ab34-4dbf-8396-07370728cf96","Nutritional Supplement, For Relative",,"Misc","For Relative","For Relative, Lunch","For Relative, Dinner","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"4b8e0a47-de16-4b71-a11b-4d5b89050162","Nutritional Supplement Template",,"Misc","Nutritional Supplement","Nutritional Supplement, For Patient","Nutritional Supplement, For Relative","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"3517d490-4080-4a36-b66a-ef86b0b80b2e","HIV, Contact Screening",,"Misc","Contact Screening","HIV, Family Member Name","HIV, Family Member Age","HIV, Family Member Gender","HIV, Family Member Relation","HIV, Family Member Symptoms","HIV, Family Member Past History of HIV","HIV, Family Member Referred","HIV, Family Member Treatment Plan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"26794add-bd92-4397-91a0-c5ed1809ba9c","HIV Family Member Screening Template",,"Misc","HIV - Family Member Screening","HIV, Contact Screening","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"b4bc4a5d-29de-4217-a9b9-cdad2a260822","Hepatitis B, Contact Screening",,"Misc","Contact Screening","Hepatitis B, Family Member Name","Hepatitis B, Family Member Age","Hepatitis B, Family Member Gender","Hepatitis B, Family Member Relation","Hepatitis B, Family Member Symptoms","Hepatitis B, Family Member Past History of Hepatitis-B","Hepatitis B, Family Member Referred","Hepatitis B, Family Member Treatment Plan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"3009e36e-4f9c-4d2e-94da-d2d48a4cf807","Hepatitis B Family Member Screening Template",,"Misc","Hepatitis B - Family Member Screening","Hepatitis B, Contact Screening","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"31b5f1cd-f0a2-4277-9527-81722afd45ca","Breast Cancer, Breast Examination Details",,"Misc","Breast Examination","Breast Cancer, Breast Side","Breast Cancer, Breast Site","Breast Cancer, Breast Size","Breast Cancer, Breast Mobility","Breast Cancer, Skin Involvement","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"63d3e420-0058-4f03-aaaa-08589c667a2e","Breast Cancer, Lymph Nodes",,"Misc","Lymph Nodes","Breast Cancer, Lymph Nodes Side","Breast Cancer, Axillary","Breast Cancer, Supra Clavicular","Breast Cancer, Infra Clavicular","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"9dac1f41-9946-49af-8534-9903a968f261","Breast Cancer, Confirmed Diagnosis Details",,"Misc","Confirmed Diagnosis Details","Breast Cancer, Breast Examination Details","Breast Cancer, Lymph Nodes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"88b3c131-0a33-4ab4-ac41-a85295211e62","Breast Cancer, Pathology",,"Misc","Pathology","Breast Cancer, Pathologic Diagnosis","Breast Cancer, Pathology Report Date","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"43da1966-5555-42c3-9be8-4b45e082afc4","Breast Cancer, Receptor Status",,"Misc","Receptor Status","ER/PR","Her2New","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"2ac5fb3b-5a85-4e44-9483-0bb09f596909","Breast Cancer, Imaging Studies",,"Misc","Imaging Studies","Breast Cancer, Imaging Assessment & Findings","Breast Cancer, Other Imaging Study Date","Breast Cancer, Imaging Type","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"5a63e348-caee-4e46-b9db-cf37fb90498f","Breast Cancer, TNM Pathologic Staging",,"Misc","TNM Pathologic Staging","Breast Cancer, Tumor Stage","Breast Cancer, Lymph Node Stage","Breast Cancer, Metastatic Stage","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"463285d8-63d0-405f-86db-639f67942a13","Breast Cancer, Confirmed Disease Stage",,"Misc","Confirmed Disease Stage","Breast Cancer, Treatment Group","Breast Cancer, TNM Pathologic Staging","Breast Cancer, Clinical Stage","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"99b8d2a4-8a1e-44b7-829d-530b525ece36","Breast Cancer, Treatment Plan",,"Misc","Treatment Plan","Breast Cancer, Treatment Plan, Plan Summary","Breast Cancer, Treatment Intent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"c072aa49-9a7b-40db-bf45-b27bb33d987c","Hormonal Treatment",,"Misc",,"Tamoxifen 20mg OD","Aromatase Inhibitors","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"e1e3ac2e-a74d-46a7-893d-f42d48769661","Breast Cancer,Treatment Received By Old Patient",,"Misc","Treatment Received By Old Patient","Date of Diagnosed","Breast Cancer, Treatment Intent","Cance, Surgery","Cancer, Regimen Type","Radiotherapy","Hormonal Treatment","Cancer, Follow up","Cancer, Compliance","Final Outcome","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"658bec2f-ba79-4a8d-919a-a7d209577177","Breast Cancer Intake Template",,"Misc","Breast Cancer - Intake","Cancer, Family History","If Present,details","Breast Cancer, Confirmed Diagnosis Details","Breast Cancer, Pathology","Breast Cancer, Receptor Status","Breast Cancer, Imaging Studies","Breast Cancer, Confirmed Disease Stage","Breast Cancer, Treatment Plan","Breast Cancer,Treatment Received By Old Patient","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"3fd5cb25-a8ea-4c22-85fb-76f04f7f471a","Breast Cancer, Chemotherapy",,"Misc","Chemotherapy","Breast Cancer, Regimen Type","Breast Cancer, Regimen Timing","Breast Cancer, Chemotherapy Cycle number","Breast Cancer, Planned changes to standard regimen","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"d0a80406-82d8-4396-94d2-ce7847685560","Breast Cancer, Surgery",,"Misc","Surgery","Breast Cancer, Surgery Type","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"5e63131a-83de-48a4-89f9-e6e11430f1d2","Breast Cancer Followup Template",,"Misc","Breast Cancer - Followup","Breast Cancer, Treatment","Breast Cancer, Chemotherapy","Breast Cancer, Surgery","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"a70cee9e-7f03-4639-82df-21e541abb038","Cervical Cancer, Obstetrical History",,"Misc","Obstetrical History","Gynaecology, Gravida","Gynaecology, Parity","Gynaecology, Live Births","Gynaecology, Abortion","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"85642070-31ef-4843-996e-e3750480dcc1","Cervical Cancer, Bleeding",,"Misc","Bleeding","Cervical Cancer, Bleeding P/V","Cervical Cancer, Inter-menstrual Bleeding","Cervical Cancer, Post Coital Bleeding","Cervical Cancer, Intermittent Bleeding","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"90ccd8cb-8627-40f7-8e77-a6e68380fe77","Cervical Cancer, Discharge",,"Misc","Discharge","Cervical Cancer, White Discharge","Cervical Cancer, Foul Smelling","Cervical Cancer, Blood Mixed Discharge","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"10e08d87-70c7-43fe-8fb4-9b6b5a7a61bf","Cervical Cancer, Presenting Complains",,"Misc","Presenting Complains","Cervical Cancer, Bleeding","Cervical Cancer, Discharge","Cervical Cancer, Dyspareunia","cervical Cancer, Others Complaints","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"e3a0e37c-dc9a-4708-978d-2c32d7e6ea2a","Cervical Cancer, General Examination",,"Misc","General Examination","Cervical Cancer, Pallor","Cervical Cancer, Oedema","Cervical Cancer, Lymphadenopathy","Cervical Cancer, Icterus","Cervical Cancer, Clubbing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"6792984b-6a99-470d-9291-e4ebb6616b1c","Gynaecology, P/V (per vaginal) - Uterus",,"Misc","P/V - Uterus","Gynaecology, Uterus Size","Gynaecology, Uterus Form","Gynaecology, Uterus Position","Gynaecology, Uterus Mobility","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"bc5bc99d-284b-43a2-968b-2f953cc9a62f","Cervical Cancer, Systemic Examination",,"Misc","Systemic Examination","Cervical Cancer, P/A","Gynaecology, P/V (per vaginal) - Uterus","Cervical Cancer, P/S - Cervix","cervical, P/R with Bimanual Examination","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"385e88d0-98a3-4f4c-a4b5-1354fc8f52cb","Cervical Cancer, Examination",,"Misc","Examination","Cervical Cancer, General Examination","Cervical Cancer, Systemic Examination","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"5a09e45b-093c-429b-943a-e8463cf02482","Cervical Cancer, Investigations",,"Misc","Investigations","Cervical Cancer, Investigations Done","Cervical Cancer, Colposcopy","Cervical Cancer, VIA","Cervical Cancer, Findings","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"f65e79da-be65-49be-a1d1-165b0397a56c","Cervical Cancer, Treatment Plan",,"Misc","Treatment Plan","Cervical Cancer, Intent","Cervical Cancer, Radiotherapy","Cervical Cancer, Surgery","Cervical Cancer, Follow up Plan","Cervical Cancer, Chemo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"17ee624b-07b1-461b-a9b2-2c3da780113d","Cervical Cancer Template",,"Misc","Cervical Cancer","Cervical Cancer, Age of Marriage","Cervical Cancer, Age of 1st Child Birth","Cervical Cancer, History of Multiple Partners","Cervical Cancer, Obstetrical History","Cervical Cancer, Phase","Cervical Cancer, Presenting Complains","Cervical Cancer, Examination","Cervical Cancer, Investigations","Cervical Cancer, Complications","Cervical Cancer, Stage","Cervical Cancer, Treatment Plan","Cervical Cancer, Outcome","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"046e65ed-028b-4838-8663-80a2cb956559","Oral Cancer Template",,"Misc","Oral Cancer","Oral Cancer, Case Summary","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"ee8cee26-6de9-4bf3-a5f2-ad4ab8e1ac2b","Psychiatry, Complaints",,"Misc","Complaints","Psychiatry, Informant","Psychiatry, Patient Notes","Psychiatry, Depression Complaints","Psychiatry, Anxiety Complaints","Psychiatry, Psychosis Complaints","Psychiatry, Mania Complaints","Psychiatry, Other Complaints","Psychiatry, Physical Complaints","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"2b326b77-e691-439f-9ef5-56144cd668ad","Psychiatry, Substance Use",,"Misc","Substance Use","Psychiatry, Substance Use History","Psychiatry, Substance Use Frequency","Psychiatry, Substance amount consumed","Psychiatry, Substance Use Drug Dependence Criteria","Psychiatry, Substance Use Complications","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"4f939076-f11e-4588-8136-0c8a99431824","Psychiatry, History",,"Misc","History","Psychiatry, Past History","Psychiatry, Family History","Psychiatry, Treatment History","Psychiatry, Substance Use","Psychiatry, Sexual History","Psychiatry, Distress or Dysfunction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"5d737fce-3157-4ddd-901d-f030e63f843c","Psychiatry, Perception",,"Misc","Perception","Psychiatry, Hallucination Type","Psychiatry, Hallucination","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"12ebd45c-caed-42f9-a59d-61cd7e5a5181","Psychiatry, Mental Status",,"Misc","Mental Status","Psychiatry, Dressing/Grooming","Psychiatry, Communicative","Psychiatry, Mood/Affect","Psychiatry, Activity Level","Psychiatry, Perception","Psychiatry, Thought","Psychiatry, Insight","Psychiatry, Cooperative","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"b88c42ae-1581-48c6-a80d-e2f80239e170","Psychiatry, Higher Mental Functions",,"Misc","Higher Mental Functions","Psychiatry, Comprehension","Psychiatry, Memory Impairments","Psychiatry, Intelligence","Psychiatry, Orientation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"f3913bbe-0016-43df-b1e1-f4a2ca5d1ecf","Psychiatry Intake Template",,"Misc","Psychiatry","Psychiatry, Complaints","Psychiatry, History","Psychiatry, Mental Status","Psychiatry, Higher Mental Functions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"2255354c-3c48-44f6-9c99-99cc97a43686","Psychiatry Followup Template",,"Misc","Psychiatry Followup","Psychiatry, Patient Notes","Psychiatry, Fresh Complaint","Psychiatry, Subjective Improvement","Psychiatry, Sleep","Psychiatry, Apetite","Psychiatry, Functioning","Psychiatry, Adverse Effects","Psychiatry, Treatment Compliance","Psychiatry, Treatment Plan","Psychiatry, Next Followup Visit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"508dd3b9-7dfb-4e4a-aace-80f34dce2e69","ANC Intake",,"Misc","Intake (First visit)","ANC Template, ANC ID","ANC,Cluster","Gravida","Parity","Abortion","Live Births","Still Birth","ANC, Last menstrual period","ANC, Estimated Date of Delivery","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"5748a23f-579f-4203-b885-5db763fb7eed","Haemoglobin Range Data",,"Concept Details","Haemoglobin Range","Haemoglobin Range","Haemoglobin Range Abnormal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"f47713d2-e349-11e3-983a-91270dcbd3bf","Systolic Data",,"Concept Details","Systolic","Systolic","Systolic Abnormal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"f479522f-e349-11e3-983a-91270dcbd3bf","Diastolic Data",,"Concept Details","Diastolic","Diastolic","Diastolic Abnormal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"f4762e56-e349-11e3-983a-91270dcbd3bf","Blood Pressure",,"ConvSet","Blood Pressure","Systolic Data","Diastolic Data","Posture","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"74cc0e5c-3386-496e-a056-aff8dffe90c4","ANC visit details",,"Misc",,"ANC, Visit date","ANC, Follow up visit","Height","Weight","Albumin (Routine Urine)","Sugar (Routine Urin)","ANC, Oedema","Haemoglobin","Haemoglobin Range Data","ANC Template  Urine M/E 1","Blood Pressure","ANC, Gestation","ANC, Fundal Height","ANC, Position","ANC, Fetal Heart Sound","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"b5c9bc61-9e8f-4f0c-b7bc-c6ef39f458eb","ANC Enrollment Closing",,"Misc",,"ANC Delivery Outcome","ANC Outcome Date","ANC Place of Delivery Outcome","ANC Performed By","ANC Weight of Baby","ANC Gender of Baby","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"108a1034-1126-4e18-914d-fe49db6c4f99","ANC Template",,"Misc","ANC","ANC Intake","ANC, First Tetanus","ANC, Second Tetanus","ANC Blood Group","ANC HIV (Elisa)","ANC Hep.B","ANC Sickle Prep","ANC VDRL","ANC Urine M/E 1","ANC visit details","High Risk Last Pregnancy","High Risk This Pregnancy","ANC Enrollment Closing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"58d8c18d-edcf-4daa-a5a8-76d7e0ae44f7","Hypertension, Past Diagnostics",,"Misc","Past Diagnostics","Hypertension, EKG","Hypertension, Echocardiogram","Hypertension, Lipids","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"db5ca4a2-581c-42c2-aad3-814137b16117","Hypertension, Intake, Etiology",,"Misc","Etiology","Hypertension, Intake, Risk Factors","Hypertension, Intake, Primary Hypertension","Hypertension, Intake, Secondary Hypertension","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"58bb8698-3bee-468d-954f-1a117b8836f4","Hypertension, Exposures",,"Misc","Exposures","Hypertension, Smoking History","Hypertension, Smokes Packs Per Day","Hypertension, Number of years since smoking","Hypertension, Alcohol Abuse","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"dd9dad75-1522-404c-8cba-4e528d7643f2","Hypertension Intake Template",,"Misc","Hypertension - Intake","Hypertension, Intake, Chief Complaint","Hypertension, Intake, Chief Complaint Non Coded","Hypertension, Intake, Chief Complaint Duration","Hypertension, Diagnosis Date","Hypertension, Symptoms of Complication","Hypertension, Hypertensive Emergency 12 Months","Hypertension, Hypertensive Emergency Cause","Hypertension, Past Diagnostics","Hypertension, Intake, Etiology","Hypertension, Exposures","Hypertension, Current Home Medications","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"819beadb-8071-43d7-9d60-78eedb9887f0","Smart card, blocked package details",,"ConvSet",,"Package","Smart card, package amount","Smart card, Length of stay","Smart card, amount to be transacted on","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"c0ae3ffb-fe66-4969-a592-b7382450b8f7","Smart card Template",,"Misc","Smart card","Smart card, amount available","Smart card, blocked package details","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"3d4cbf52-9dab-4e55-8957-e9319fa603b8","Consultation Images",,"Misc",,"Image","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"eb65aeea-cb42-4e11-a341-669308ad750f","M Mode Measurements",,"Misc",,"IVSDd","LVIDd","LVPWd","LVIDS","Ejection Fraction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"ec98998b-6c09-4c31-ba08-f0a67d899ef9","Doppler",,"Misc",,"echo Right Ventricular Systolic Pressure","Mitral Valve (Peak Gradient)","Aortic Valve (Peak Gradient)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"445d6178-59fa-4a11-8498-cd8f0e06e007","Colour Flow",,"Misc",,"Colour Flow, Moderately Reduced","Colour Flow, Aortic Insufficiency","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"950fa250-9247-49ba-8086-1f38d4b0923f","2D exam",,"Misc",,"echo Left Ventricular Function","Left Ventricular Function","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"d100d8a5-2dd8-462f-9306-50733a672b35","Valvular Abnormality",,"Misc",,"Valvular Abnormality, Mitral Stenosis","Valvular Abnormality, Mitral Regurgitation","Valvular Abnormality, Aortic Stenosis","Valvular Abnormality, Aortic Insufficiency","Valvular Abnormality, Tricuspid Regurgitation","Valvular Abnormality, PR","Valvular Abnormality,PS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"aceeabb9-8594-4f23-a235-0c50554f4932","Echo Template",,"Misc","Echo","Consultation Images","M Mode Measurements","Doppler","Colour Flow","2D exam","Ao","Echo LA","Valvular Abnormality","Echo, Pericardial Effusion","Extracardiac Findings","Echo Conclusion","Echo Recommendation","Video Link","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"3e1f5fae-36b9-40ae-b00c-573d8033f1a8","Cardiology template",,"Misc","Cardiology","Cardiology Notes","Cardiology, Date of Surgery","Cardiology, Surgery","Cardiology, Type of Surgery","Cardiology, Which Surgery","Cardiology, Surgery Center","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"1996d54e-f05f-413f-8af0-b867bc391c9e","RMRCT, Microbiology test requirement",,"ConvSet","Microbiology test requirement","RMRCT, Microbiology test requirement, Test","RMRCT, Microbiology test requirement, Type of Sample","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"21808d2a-15a8-4def-a968-d31f657dcb92","RMRCT, Standardized History",,"ConvSet","Standardized History","RMRCT, Standardized History, Symptoms","RMRCT, Standardized History, How long have you been sick ?","RMRCT, Standardized History, Did you have other symptoms of lung diseases prior to this episode","RMRCT, Standardized History, Did you have X-ray Examination Prior to this episode ?","RMRCT, Standardized History, Did you ever take tuberculosis drugs for more than one month ?","RMRCT, Standardized History, Did you have Sputum examinations prior to this episode ?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"44d1882c-19c2-4377-b4cd-7a32100a1169","RMRCT, If treatment taken",,"ConvSet","If treatment taken","RMRCT, If treatment taken, Where was the patient treated ?","RMRCT, If treatment taken, When was the patient treated ?","RMRCT, If treatment taken, How many times was the patient treated ?","RMRCT, If treatment taken, If Dots taken : Category","CDST Form, Drugs used in his treatment","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"c4451c50-f9b2-43d1-a734-9a32e6b3210c","RMRCT Form",,"Misc",,"RMRCT, Microbiology test requirement","RMRCT, Previsiosly treated with TB","RMRCT, Standardized History","RMRCT, If treatment taken","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"142d6b21-defd-4b03-9196-bebacdac363e","Referral Form, Doctors Name",,"ConvSet","Doctor's Name","Doctor's Name","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"ddaf615a-39e0-40ba-a97d-dc49d532167a","Referral Form, Health Center",,"Test","Health Center","Referral Form, Authority","Referral Form, Facility Type","Referral Form, District","Referral Form, State","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"e9dfe9e7-a346-4bd3-9cd7-5fb268514a2d","Referral Form, Summary",,"ConvSet","Summary","Summary, Advice","Summary, Summary Notes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"9c894113-7817-4b06-adbf-b06c2b9db9e6","Referral Form, Referral Follow up",,"Misc","Referral Follow up","Contact","Follow up after","Follow up on (date)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
