concept,conceptuuid,conceptanswer,conceptansweruuid
Diabetes existing complications,656a6817-b193-4964-8286-36b4abc1a05c,Retinopathy,6f051f8d-876e-4be4-8896-374f774381c6
Diabetes existing complications,656a6817-b193-4964-8286-36b4abc1a05c,Other,798b7942-cf58-4d4e-a529-5972942e0a7e
Diabetes existing complications,656a6817-b193-4964-8286-36b4abc1a05c,Nepropathy,7737167f-f770-4662-ba9d-e58c223ec796
Diabetes existing complications,656a6817-b193-4964-8286-36b4abc1a05c,CVA (Stroke),5c0585f8-632d-4639-91f2-d08331ada0a9
Diabetes existing complications,656a6817-b193-4964-8286-36b4abc1a05c,TB,7943642f-c96f-4de6-a470-b9cb0b45feb0
Diabetes existing complications,656a6817-b193-4964-8286-36b4abc1a05c,Infection,e668ceed-92ee-4b2f-8714-72838f11264b
Eye status,72700872-c2ee-4e7e-8d9c-7ba874dd34df,Clinically significant macular edema,bccf099f-cf47-4521-a2b3-cf8197f1f569
Eye status,72700872-c2ee-4e7e-8d9c-7ba874dd34df,Normal vision (Rt eye),f340c218-3038-469a-8ce3-7499eacc0e60
Eye status,72700872-c2ee-4e7e-8d9c-7ba874dd34df,Mild nonproliferative diabetic retinopathy,1cc7ecf9-098b-4a54-a9d4-43ff1a3f453e
Eye status,72700872-c2ee-4e7e-8d9c-7ba874dd34df,Early prolifertive diabetic retinopathy,7f048c87-e138-4361-b589-6e434116a2e3
Eye status,72700872-c2ee-4e7e-8d9c-7ba874dd34df,Severe prolifertive diabetic retinopathy,5e3ca7cd-a454-498a-907d-cee6c9a971b1
Eye status,72700872-c2ee-4e7e-8d9c-7ba874dd34df,Normal vision (Lt eye),3955a4b0-5c45-44e4-8ff7-1e11c606dd51
Eye status,72700872-c2ee-4e7e-8d9c-7ba874dd34df,High-risk prolifertive diabetic retinopathy,9eef6b0e-66e8-4ddc-948d-b4ac27481800
Eye status,72700872-c2ee-4e7e-8d9c-7ba874dd34df,Abnormal vision (Rt. eye),6efc5566-4bf5-4687-bf75-431660d3ff4a
Eye status,72700872-c2ee-4e7e-8d9c-7ba874dd34df,Severe nonproliferative diabetic retinopathy,883d2a8f-7ee4-40a8-bd6a-e07b2d04acbc
Eye status,72700872-c2ee-4e7e-8d9c-7ba874dd34df,Moderate nonproliferative diabetic retinopathy,ccb6dbf2-fa91-4aa2-a375-e15296e761ce
Eye status,72700872-c2ee-4e7e-8d9c-7ba874dd34df,None,8b77f487-c885-4b54-8925-153733913b10
Eye status,72700872-c2ee-4e7e-8d9c-7ba874dd34df,Normal vision (Left and Right eye),aa16ec9d-909c-42a2-bbf1-95f656cc9c87
Eye status,72700872-c2ee-4e7e-8d9c-7ba874dd34df,Abnormal vision (Lt. eye),3f944a3f-d72d-4085-a1dd-6a530c8e7d12
Teeth Status,650d5e5c-3c2f-4c31-b54f-dbea726a9b71,Gum swelling,416132ec-d498-484d-987a-a27410aaed6f
Teeth Status,650d5e5c-3c2f-4c31-b54f-dbea726a9b71,Normal,ec89cb1f-491b-46de-95c1-3009effa9041
Teeth Status,650d5e5c-3c2f-4c31-b54f-dbea726a9b71,Caries,17335e01-a950-456d-bbdf-b4ae62386041
Nail Status,5eec64bb-3cfb-4d9e-bd59-4e8344fd9be0,Normal,ec89cb1f-491b-46de-95c1-3009effa9041
Nail Status,5eec64bb-3cfb-4d9e-bd59-4e8344fd9be0,fungle infection,5f17189a-c21d-4547-92f9-e28340e24db7
Nail Status,5eec64bb-3cfb-4d9e-bd59-4e8344fd9be0,Abscess,5db21d9a-6ca7-4102-a72e-9e8b4f3dc3c0
Nail Status,5eec64bb-3cfb-4d9e-bd59-4e8344fd9be0,Ingrown nail,ff1710e0-66ed-4761-a383-e045a595fe56
"Radial, dorsalis pedis",5f904bfd-c71f-42f3-9ce0-c985ecd54cc6,Not equal,53c08a7b-d82e-4517-85da-2bef7c79773c
"Radial, dorsalis pedis",5f904bfd-c71f-42f3-9ce0-c985ecd54cc6,Equal,585b3af1-f6e1-498b-a762-dd227064bb36
"Radial, dorsalis pedis",5f904bfd-c71f-42f3-9ce0-c985ecd54cc6,Absent,4d6cf097-ea82-4b4d-ba8f-2bd51132f04d
Sensory charting,b9364c46-9f4b-45e3-8c49-997c5e1ce168,Normal,ec89cb1f-491b-46de-95c1-3009effa9041
Sensory charting,b9364c46-9f4b-45e3-8c49-997c5e1ce168,Sensory neuropathy,a0933188-ad82-4c3c-b292-ccc6cd1ce9ac
Foot,2bf7f201-58d9-4fe0-8d2a-a958a650cef9,Normal,ec89cb1f-491b-46de-95c1-3009effa9041
Foot,2bf7f201-58d9-4fe0-8d2a-a958a650cef9,Ulcer,99bbb17e-375f-46ee-bc55-a9ff1971cf5f
Foot,2bf7f201-58d9-4fe0-8d2a-a958a650cef9,Other,798b7942-cf58-4d4e-a529-5972942e0a7e
Foot,2bf7f201-58d9-4fe0-8d2a-a958a650cef9,Cracks,d27bdeb2-9f13-4653-8951-942c00936e69
Foot,2bf7f201-58d9-4fe0-8d2a-a958a650cef9,Callosities,ded8542f-d84d-4351-91ca-138b41703058
ECG findings,04e08029-0676-42a4-808a-f8767fceb52c,Normal,ec89cb1f-491b-46de-95c1-3009effa9041
ECG findings,04e08029-0676-42a4-808a-f8767fceb52c,Abnormal,6d2136fe-6561-45c0-936e-37bcb316277a
ECG findings,04e08029-0676-42a4-808a-f8767fceb52c,ECG not done,82ce9872-d147-41ef-a413-d451b8f61530
Heart condition,09101b0e-d0a1-4ba6-8f05-9d0c90e4565f,Left ventricular hypertrophy (LVH),bb1ebc6b-1003-42c5-be9a-f52479d387f9
Heart condition,09101b0e-d0a1-4ba6-8f05-9d0c90e4565f,Other heart condition,48df3bdb-28e5-4d3a-a5f9-d75fd7116606
Heart condition,09101b0e-d0a1-4ba6-8f05-9d0c90e4565f,IHD,be72a069-c521-4bd0-9b1c-49e4f2f127b7
Heart condition,09101b0e-d0a1-4ba6-8f05-9d0c90e4565f,Heart failure,4c2d8a76-f84e-47b5-a974-860c9f860637
Heart condition,09101b0e-d0a1-4ba6-8f05-9d0c90e4565f,Arrhythmia,19adc2c2-c535-4890-ae78-7e0564ff8947
Heart condition,09101b0e-d0a1-4ba6-8f05-9d0c90e4565f,CHD,6c97b195-9898-4013-8619-a94bb1bd99c1
Urin albumin,974fac7b-1294-4e29-bc30-56444e7f3619,3,f9636cd1-4dcb-4739-b378-83e9c56990e2
Urin albumin,974fac7b-1294-4e29-bc30-56444e7f3619,Trace,ae92d882-9ca4-448b-9cbf-f7459548bd55
Urin albumin,974fac7b-1294-4e29-bc30-56444e7f3619,1,4340f289-e3e6-4877-97e5-278152076dde
Urin albumin,974fac7b-1294-4e29-bc30-56444e7f3619,0,e4588a0c-c75a-4580-83d1-8fe3a20d4b00
Urin albumin,974fac7b-1294-4e29-bc30-56444e7f3619,2,aa1fb88e-faa6-40ad-adb1-1e1a49d31c62
Urine albumin,37697db5-6071-40e6-8ecb-fd67938d9427,2,aa1fb88e-faa6-40ad-adb1-1e1a49d31c62
Urine albumin,37697db5-6071-40e6-8ecb-fd67938d9427,3,f9636cd1-4dcb-4739-b378-83e9c56990e2
Urine albumin,37697db5-6071-40e6-8ecb-fd67938d9427,Trace,ae92d882-9ca4-448b-9cbf-f7459548bd55
Urine albumin,37697db5-6071-40e6-8ecb-fd67938d9427,0,e4588a0c-c75a-4580-83d1-8fe3a20d4b00
Urine albumin,37697db5-6071-40e6-8ecb-fd67938d9427,1,4340f289-e3e6-4877-97e5-278152076dde
ECG findings,04e08029-0676-42a4-808a-f8767fceb52c,Normal,ec89cb1f-491b-46de-95c1-3009effa9041
ECG findings,04e08029-0676-42a4-808a-f8767fceb52c,Abnormal,6d2136fe-6561-45c0-936e-37bcb316277a
ECG findings,04e08029-0676-42a4-808a-f8767fceb52c,ECG not done,82ce9872-d147-41ef-a413-d451b8f61530
Diabetes medicines,39e2c825-b2e8-41dc-842c-4009fe5ac2bd,gliclazide,b45199c3-0a88-4b71-9e8e-47b58a8c980c
Diabetes medicines,39e2c825-b2e8-41dc-842c-4009fe5ac2bd,Saxagliptin,59e7e22a-117f-4f7a-874b-65873b9cdee7
Diabetes medicines,39e2c825-b2e8-41dc-842c-4009fe5ac2bd,Linagliptin,b3f0d313-f4de-4d12-b35b-db624c1cc35f
Diabetes medicines,39e2c825-b2e8-41dc-842c-4009fe5ac2bd,metformin,38341ce8-9797-4fc8-be7a-fed00e347d03
Diabetes medicines,39e2c825-b2e8-41dc-842c-4009fe5ac2bd,Enalapril,43a75fca-4064-4cf6-b214-506c3665ea89
Diabetes medicines,39e2c825-b2e8-41dc-842c-4009fe5ac2bd,metformin SR,f8a94885-0609-4f18-ac4e-1c6a3728cce1
Diabetes medicines,39e2c825-b2e8-41dc-842c-4009fe5ac2bd,glipizide,498836b3-9f98-4070-99d5-5b20a80232d6
Diabetes medicines,39e2c825-b2e8-41dc-842c-4009fe5ac2bd,Iron (Fersifol),1a86c03c-416e-4603-a0d0-2407bc837253
Diabetes medicines,39e2c825-b2e8-41dc-842c-4009fe5ac2bd,rosiglitazone,82b1a12b-b5a0-45f5-a118-ae4104f8c8fb
Diabetes medicines,39e2c825-b2e8-41dc-842c-4009fe5ac2bd,glibenclamide,69d02e53-7590-4dea-9249-4b1f585bd146
Diabetes medicines,39e2c825-b2e8-41dc-842c-4009fe5ac2bd,Furoseide,836ac756-fdc6-4249-87b8-f24bda9daf47
Diabetes medicines,39e2c825-b2e8-41dc-842c-4009fe5ac2bd,tolbutamide,1d003b60-7759-4472-a24f-5b57956a8b4c
Diabetes medicines,39e2c825-b2e8-41dc-842c-4009fe5ac2bd,glimeperide,18e18724-82bb-4867-90c3-920d1d7e3327
Diabetes medicines,39e2c825-b2e8-41dc-842c-4009fe5ac2bd,ripaglinide,6bb7bb07-f88b-4bd0-86d1-5158a2c1725d
Diabetes medicines,39e2c825-b2e8-41dc-842c-4009fe5ac2bd,pyoglitazone,9ee73b61-99f6-4851-b1bc-4734a0c44601
Diabetes medicines,39e2c825-b2e8-41dc-842c-4009fe5ac2bd,nateglinide,9df60333-8ca4-495c-bbdd-5141f114f5f4
Diabetes medicines,39e2c825-b2e8-41dc-842c-4009fe5ac2bd,Metformin SR,6e8567b4-5887-464d-9446-4c0cd92cfdbe
Diabetes medicines,39e2c825-b2e8-41dc-842c-4009fe5ac2bd,losartan,c1568e82-86e3-419d-90fa-2bc25a8e8694
Diabetes medicines,39e2c825-b2e8-41dc-842c-4009fe5ac2bd,paracetamol,956c10a2-907b-429e-9ed2-4db66f1c8d70
Diabetes medicines,39e2c825-b2e8-41dc-842c-4009fe5ac2bd,Spironolactone,7ad5a4ad-2f6b-48b4-a340-ba37c513bbdd
Diabetes medicines,39e2c825-b2e8-41dc-842c-4009fe5ac2bd,Omeprazole,54323fc3-e6e7-45c8-ac2b-cabc4e2140d5
Diabetes medicines,39e2c825-b2e8-41dc-842c-4009fe5ac2bd,Aspirin,d9692956-c0b9-443c-9dbc-d51e5a04973a
Diabetes medicines,39e2c825-b2e8-41dc-842c-4009fe5ac2bd,Famotidin,ff34199b-db41-444d-828a-d30a779446fc
Diabetes medicines,39e2c825-b2e8-41dc-842c-4009fe5ac2bd,Calcium,a90a1a76-c5fe-4020-924e-0e0e9f5b0f9f
Diabetes medicines,39e2c825-b2e8-41dc-842c-4009fe5ac2bd,Becadex (multivitamin),74182b4d-b305-4621-b0fa-2bde06295f50
Diabetes medicines,39e2c825-b2e8-41dc-842c-4009fe5ac2bd,Sitagliptin,42967a86-0842-4a82-9f86-318ec0b4732a
Diabetes medicines,39e2c825-b2e8-41dc-842c-4009fe5ac2bd,Atorvastatin,f86acb3f-53d2-44a7-a55b-1ef91914a997
Diabetes medicines,39e2c825-b2e8-41dc-842c-4009fe5ac2bd,B-complex,26d436dc-96a3-4db4-9b36-183d68094e8c
Metformin,d0fbc4d4-943f-46ac-9175-3500245d2a5c,1500,d7a64d5c-48b7-4f5f-82bb-20155f42a232
Metformin,d0fbc4d4-943f-46ac-9175-3500245d2a5c,500,5ea0a3dc-0078-40b8-9b7c-6696cc017ed3
Metformin,d0fbc4d4-943f-46ac-9175-3500245d2a5c,1000,a24f9bfc-9674-4a6f-841a-c47b32e911fa
Metformin,d0fbc4d4-943f-46ac-9175-3500245d2a5c,2000,7f84416a-c344-40d9-900a-dce4a10b2fda
Metformin SR,6e8567b4-5887-464d-9446-4c0cd92cfdbe,500,5ea0a3dc-0078-40b8-9b7c-6696cc017ed3
Metformin SR,6e8567b4-5887-464d-9446-4c0cd92cfdbe,1000,a24f9bfc-9674-4a6f-841a-c47b32e911fa
Metformin SR,6e8567b4-5887-464d-9446-4c0cd92cfdbe,1000,a24f9bfc-9674-4a6f-841a-c47b32e911fa
Metformin SR,6e8567b4-5887-464d-9446-4c0cd92cfdbe,500,5ea0a3dc-0078-40b8-9b7c-6696cc017ed3
Glipizide,1fc97791-4ee1-4ece-952f-d7aefd740c2f,15,0b1a26c5-f32b-4ec0-aa95-341cdd6459a3
Glipizide,1fc97791-4ee1-4ece-952f-d7aefd740c2f,5,05ebb004-c21c-4c41-933d-9c2e8b164fea
Glipizide,1fc97791-4ee1-4ece-952f-d7aefd740c2f,2.5 mg,4c184f2c-a390-4a64-a999-95aae33078ee
Glipizide,1fc97791-4ee1-4ece-952f-d7aefd740c2f,10,c5aff454-4e9d-46bd-a91f-5d098ecbba40
Glipizide,1fc97791-4ee1-4ece-952f-d7aefd740c2f,20,89c21517-4fed-4abc-afee-79d9b18e5fa7
Glipizide,1fc97791-4ee1-4ece-952f-d7aefd740c2f,2.5,12b57dab-12de-4020-b22c-68605e2b40cf
Tolbutamide,4b6fd526-bd98-4131-b642-2fabb3ead8a4,1.5,f4c5cdb7-8c76-410f-837e-52a0e7bcf198
Tolbutamide,4b6fd526-bd98-4131-b642-2fabb3ead8a4,0.5,1ed70bfd-37b8-4d1b-8fb5-102e3a9daf83
Tolbutamide,4b6fd526-bd98-4131-b642-2fabb3ead8a4,1,89c74357-1f8f-40bf-b090-e34a991cf49a
Tolbutamide,4b6fd526-bd98-4131-b642-2fabb3ead8a4,2,d35bbce2-8ed3-4512-a9e7-74a8e878b87a
Tolbutamide,4b6fd526-bd98-4131-b642-2fabb3ead8a4,2.5,12b57dab-12de-4020-b22c-68605e2b40cf
Gliclazide,7ce80a12-333c-4aee-82ab-79c94e008738,40,27a77c0b-7b0e-4b6d-9315-c912a5030d7b
Gliclazide,7ce80a12-333c-4aee-82ab-79c94e008738,2000,7f84416a-c344-40d9-900a-dce4a10b2fda
Gliclazide,7ce80a12-333c-4aee-82ab-79c94e008738,120,9d32c9fe-f35f-4a9d-989a-3a278ab28fc4
Gliclazide,7ce80a12-333c-4aee-82ab-79c94e008738,160,6176ac66-f887-4ffb-87b2-dde576aa8e58
Gliclazide,7ce80a12-333c-4aee-82ab-79c94e008738,200,82aeaa0e-2f45-448c-a705-ff41eafe251c
Gliclazide,7ce80a12-333c-4aee-82ab-79c94e008738,240,43302348-9258-40c1-9fcf-bd30df26b0c5
Gliclazide,7ce80a12-333c-4aee-82ab-79c94e008738,280,53e49652-9b3d-4c5f-a511-abb2cb72f9e4
Gliclazide,7ce80a12-333c-4aee-82ab-79c94e008738,80,49fa1ba5-ba22-430a-bd06-84ad89e63440
Glibenclamide,01fc8c9d-af91-41ce-9df1-5819acded3e9,5,05ebb004-c21c-4c41-933d-9c2e8b164fea
Glibenclamide,01fc8c9d-af91-41ce-9df1-5819acded3e9,20,89c21517-4fed-4abc-afee-79d9b18e5fa7
Glibenclamide,01fc8c9d-af91-41ce-9df1-5819acded3e9,10,c5aff454-4e9d-46bd-a91f-5d098ecbba40
Glibenclamide,01fc8c9d-af91-41ce-9df1-5819acded3e9,15,0b1a26c5-f32b-4ec0-aa95-341cdd6459a3
Glimeperide,eb58f9d3-f7aa-43bc-ba22-aa81959e0c28,6,97e8482b-8884-4683-a59c-a0f90ba7720b
Glimeperide,eb58f9d3-f7aa-43bc-ba22-aa81959e0c28,5,05ebb004-c21c-4c41-933d-9c2e8b164fea
Glimeperide,eb58f9d3-f7aa-43bc-ba22-aa81959e0c28,2,d35bbce2-8ed3-4512-a9e7-74a8e878b87a
Glimeperide,eb58f9d3-f7aa-43bc-ba22-aa81959e0c28,3,1985c593-f9b7-4367-b4d9-77cb65b2ae13
Glimeperide,eb58f9d3-f7aa-43bc-ba22-aa81959e0c28,1,89c74357-1f8f-40bf-b090-e34a991cf49a
Glimeperide,eb58f9d3-f7aa-43bc-ba22-aa81959e0c28,4,7aaf3d11-fa64-403e-b7be-ba8f106f0414
Pyoglitazone,893f5c62-6a60-40ce-a9e1-4184a9f3fe26,60,6fceafad-d106-479b-827f-8f991ad93246
Pyoglitazone,893f5c62-6a60-40ce-a9e1-4184a9f3fe26,15,0b1a26c5-f32b-4ec0-aa95-341cdd6459a3
Pyoglitazone,893f5c62-6a60-40ce-a9e1-4184a9f3fe26,45,a3b9df18-1aca-41ec-9829-8fec3f69d2ad
Pyoglitazone,893f5c62-6a60-40ce-a9e1-4184a9f3fe26,30,aceb0588-506a-4341-8cc9-697d41982b37
Rosiglitazone,ed22e195-218b-486c-9789-d0686e0c9f3f,8,563e3ba2-6749-48ec-b3f2-23c06e85a4ee
Rosiglitazone,ed22e195-218b-486c-9789-d0686e0c9f3f,4,7aaf3d11-fa64-403e-b7be-ba8f106f0414
Rosiglitazone,ed22e195-218b-486c-9789-d0686e0c9f3f,16,6a5497d3-c523-49da-b22b-402efdc0a8e6
Rosiglitazone,ed22e195-218b-486c-9789-d0686e0c9f3f,12,0985bbe3-3803-4f38-801c-5d2fc8abef39
Ripaglinide,02ed08ca-ff74-44b0-9f59-018c2776b401,4.5,00357415-f1cf-4ca0-982c-e83f15238854
Ripaglinide,02ed08ca-ff74-44b0-9f59-018c2776b401,6,97e8482b-8884-4683-a59c-a0f90ba7720b
Ripaglinide,02ed08ca-ff74-44b0-9f59-018c2776b401,1.5,f4c5cdb7-8c76-410f-837e-52a0e7bcf198
Ripaglinide,02ed08ca-ff74-44b0-9f59-018c2776b401,8,563e3ba2-6749-48ec-b3f2-23c06e85a4ee
Ripaglinide,02ed08ca-ff74-44b0-9f59-018c2776b401,3,1985c593-f9b7-4367-b4d9-77cb65b2ae13
Nateglinide,d477aa49-db1a-4e62-9a1f-def41e29adda,180,8252783e-dd50-4bff-b682-90b2ae01968a
Nateglinide,d477aa49-db1a-4e62-9a1f-def41e29adda,360,6c11a8cf-c920-4a75-9995-8af6e2d4ca4d
Nateglinide,d477aa49-db1a-4e62-9a1f-def41e29adda,480,53fd8ce6-f65d-4a75-8f40-7ae78e9c8756
Nateglinide,d477aa49-db1a-4e62-9a1f-def41e29adda,420,4fdd5bc6-547f-4a68-989d-2a1f1cb603f9
Diabetes aspirin,56d918dc-bb81-48b9-8a7d-f40794e14b96,25,0987b8e1-6e8b-4475-9533-5da712db88c4
Diabetes aspirin,56d918dc-bb81-48b9-8a7d-f40794e14b96,75,21a93891-2945-4f69-997e-471523a86caf
Diabetes aspirin,56d918dc-bb81-48b9-8a7d-f40794e14b96,200,82aeaa0e-2f45-448c-a705-ff41eafe251c
Diabetes aspirin,56d918dc-bb81-48b9-8a7d-f40794e14b96,175,468cdc42-2cbf-41d4-919d-32b741917554
Diabetes aspirin,56d918dc-bb81-48b9-8a7d-f40794e14b96,50,e34bdde2-e78a-4a14-975f-32a52157e32f
Diabetes aspirin,56d918dc-bb81-48b9-8a7d-f40794e14b96,150,15a1472b-9182-40b4-bbc2-70c16704d07f
Diabetes aspirin,56d918dc-bb81-48b9-8a7d-f40794e14b96,125,c6897acc-cedd-43bf-9e23-bdc8e548b273
Diabetes aspirin,56d918dc-bb81-48b9-8a7d-f40794e14b96,100,5f2817b2-4cf1-4dec-870a-2f89667c1b8c
Diabetes atorvastatin,eaec610c-2bfb-4029-b67d-ea962d7254ce,30,aceb0588-506a-4341-8cc9-697d41982b37
Diabetes atorvastatin,eaec610c-2bfb-4029-b67d-ea962d7254ce,20,89c21517-4fed-4abc-afee-79d9b18e5fa7
Diabetes atorvastatin,eaec610c-2bfb-4029-b67d-ea962d7254ce,50,e34bdde2-e78a-4a14-975f-32a52157e32f
Diabetes atorvastatin,eaec610c-2bfb-4029-b67d-ea962d7254ce,70,ed244f32-0c35-4f94-ad6f-e85376dfc484
Diabetes atorvastatin,eaec610c-2bfb-4029-b67d-ea962d7254ce,80,49fa1ba5-ba22-430a-bd06-84ad89e63440
Diabetes atorvastatin,eaec610c-2bfb-4029-b67d-ea962d7254ce,10,c5aff454-4e9d-46bd-a91f-5d098ecbba40
Diabetes atorvastatin,eaec610c-2bfb-4029-b67d-ea962d7254ce,60,6fceafad-d106-479b-827f-8f991ad93246
Diabetes atorvastatin,eaec610c-2bfb-4029-b67d-ea962d7254ce,40,27a77c0b-7b0e-4b6d-9315-c912a5030d7b
Diabetes enalapril,c3ba40f2-2b52-4088-a490-7d3e0e8f6230,10,c5aff454-4e9d-46bd-a91f-5d098ecbba40
Diabetes enalapril,c3ba40f2-2b52-4088-a490-7d3e0e8f6230,2.5,12b57dab-12de-4020-b22c-68605e2b40cf
Diabetes enalapril,c3ba40f2-2b52-4088-a490-7d3e0e8f6230,20,89c21517-4fed-4abc-afee-79d9b18e5fa7
Diabetes enalapril,c3ba40f2-2b52-4088-a490-7d3e0e8f6230,5,05ebb004-c21c-4c41-933d-9c2e8b164fea
Losartan,d0b906ec-8922-42fd-a6f7-53b2008db3da,25,0987b8e1-6e8b-4475-9533-5da712db88c4
Losartan,d0b906ec-8922-42fd-a6f7-53b2008db3da,50,e34bdde2-e78a-4a14-975f-32a52157e32f
Losartan,d0b906ec-8922-42fd-a6f7-53b2008db3da,100,5f2817b2-4cf1-4dec-870a-2f89667c1b8c
Losartan,d0b906ec-8922-42fd-a6f7-53b2008db3da,75,21a93891-2945-4f69-997e-471523a86caf
Insulin needed,8c7c621d-caed-4f7f-bd05-88645881714c,No,f88da2e8-6ab4-44b5-b762-233485cd25f9
Insulin needed,8c7c621d-caed-4f7f-bd05-88645881714c,Yes,57e20de7-10de-4391-b7ce-87b2f40d19a2
Type of Insuline,28435511-5d28-476b-8683-22781974cc9a,Plain,54b5a865-3b06-483d-9487-b8173bdb945a
Type of Insuline,28435511-5d28-476b-8683-22781974cc9a,Mixtard,a3e5439e-d918-4378-95a0-7a4d170f61e7
Insuline for how many times a day,6f8466b0-b47b-41c9-85ed-eb23cf9e4aa4,Twice a day,377ba051-ce74-41ec-86f0-e1ef45392048
Insuline for how many times a day,6f8466b0-b47b-41c9-85ed-eb23cf9e4aa4,Once a day,8aeda69b-1fce-49f8-b6f3-91a4358f652d
Frequency of Insulin dose,e92e55b8-c4fe-49b7-a3d9-28c2b86c7c3a,Twice a day,377ba051-ce74-41ec-86f0-e1ef45392048
Frequency of Insulin dose,e92e55b8-c4fe-49b7-a3d9-28c2b86c7c3a,Once a day,8aeda69b-1fce-49f8-b6f3-91a4358f652d
B-complex Strength,a5ed1d52-4b5a-4c79-974b-0adf2bf9ccb5,1,89c74357-1f8f-40bf-b090-e34a991cf49a
Becadex (multivitamin) Strength,6e96f709-dc8e-4e10-a79f-e908a790d719,1,89c74357-1f8f-40bf-b090-e34a991cf49a
Iron (Fersifol) Strength,524abcfb-d2b0-46e4-9c18-c5c380adb862,50 mg,d2cc3b6c-bbde-4840-9ef9-bf76fe1f7fd0
Iron (Fersifol) Strength,524abcfb-d2b0-46e4-9c18-c5c380adb862,200 mg,42521250-beb8-4407-8a54-591736c499e7
Iron (Fersifol) Strength,524abcfb-d2b0-46e4-9c18-c5c380adb862,150 mg,7ed903d7-4766-46e4-ae90-3cc00683ee53
Iron (Fersifol) Strength,524abcfb-d2b0-46e4-9c18-c5c380adb862,160 mg,b2279a5c-4a97-4348-bca8-3a040c1d185a
Iron (Fersifol) Strength,524abcfb-d2b0-46e4-9c18-c5c380adb862,25 mg,beadf3cf-f434-4015-9ad2-c84d438f6d90
Iron (Fersifol) Strength,524abcfb-d2b0-46e4-9c18-c5c380adb862,360 mg,46360e77-0cae-4b03-aa2a-5390ecb56f0d
Iron (Fersifol) Strength,524abcfb-d2b0-46e4-9c18-c5c380adb862,60 mg,95c823e7-27e0-454e-8e51-fc5362c573bd
Paracetamol Strength,6b3c1744-f643-499d-8581-8b0b4a4017bd,1000 mg,f52b5de1-63a5-4665-9fa2-be0ff018122a
Paracetamol Strength,6b3c1744-f643-499d-8581-8b0b4a4017bd,500 mg,814dd7c5-9945-4be1-84a0-14f6577698c6
Paracetamol Strength,6b3c1744-f643-499d-8581-8b0b4a4017bd,250 mg,a8194f24-bbfd-4af2-b8e0-323b0fa37b12
Furosemide Strength,feec4205-8f1e-4b8e-929f-f8c0664e34d4,40 mg,39efffa4-84ab-4551-9bd8-527d262ff469
Furosemide Strength,feec4205-8f1e-4b8e-929f-f8c0664e34d4,100 mg,632a7ca9-6296-4a57-9875-1d2679dc4a60
Furosemide Strength,feec4205-8f1e-4b8e-929f-f8c0664e34d4,60 mg,95c823e7-27e0-454e-8e51-fc5362c573bd
Furosemide Strength,feec4205-8f1e-4b8e-929f-f8c0664e34d4,80 mg,d4e7f96f-ad03-4a39-85da-92ccd8baaab0
Furosemide Strength,feec4205-8f1e-4b8e-929f-f8c0664e34d4,20 mg,c7332542-ebac-41d1-baf4-e60089f5e46f
Spironolactone Strength,43ee5933-ba92-4a53-8d51-95423a293302,100 mg,632a7ca9-6296-4a57-9875-1d2679dc4a60
Spironolactone Strength,43ee5933-ba92-4a53-8d51-95423a293302,50 mg,d2cc3b6c-bbde-4840-9ef9-bf76fe1f7fd0
Spironolactone Strength,43ee5933-ba92-4a53-8d51-95423a293302,75 mg,534aae61-ef77-4bd0-8fd4-8d6aefd4ec5f
Spironolactone Strength,43ee5933-ba92-4a53-8d51-95423a293302,25 mg,beadf3cf-f434-4015-9ad2-c84d438f6d90
Calcium Strength,d6e1be9d-0937-4708-869f-19c816c11d7c,500 mg,814dd7c5-9945-4be1-84a0-14f6577698c6
Calcium Strength,d6e1be9d-0937-4708-869f-19c816c11d7c,1000 mg,f52b5de1-63a5-4665-9fa2-be0ff018122a
Famotidin Strength,a7f6bc7b-5cd0-444f-9892-a923d2468b69,40 mg,39efffa4-84ab-4551-9bd8-527d262ff469
Famotidin Strength,a7f6bc7b-5cd0-444f-9892-a923d2468b69,20 mg,c7332542-ebac-41d1-baf4-e60089f5e46f
Famotidin Strength,a7f6bc7b-5cd0-444f-9892-a923d2468b69,10 mg,2a51c67b-2726-42d1-bf8b-0bbbe0a8da6c
Omeprazole Strength,74f118f7-60e9-4ea7-b671-894f49e2fd70,20 mg,c7332542-ebac-41d1-baf4-e60089f5e46f
Omeprazole Strength,74f118f7-60e9-4ea7-b671-894f49e2fd70,2.5 mg,4c184f2c-a390-4a64-a999-95aae33078ee
Omeprazole Strength,74f118f7-60e9-4ea7-b671-894f49e2fd70,60 mg,95c823e7-27e0-454e-8e51-fc5362c573bd
Omeprazole Strength,74f118f7-60e9-4ea7-b671-894f49e2fd70,10 mg,2a51c67b-2726-42d1-bf8b-0bbbe0a8da6c
Omeprazole Strength,74f118f7-60e9-4ea7-b671-894f49e2fd70,45 mg,cd67e213-cdeb-4c66-99bd-7b371bae1da3
Sitagliptin Strength,93a77494-4a97-4bd7-8bb1-560f0abd7c2d,200 mg,42521250-beb8-4407-8a54-591736c499e7
Sitagliptin Strength,93a77494-4a97-4bd7-8bb1-560f0abd7c2d,150 mg,7ed903d7-4766-46e4-ae90-3cc00683ee53
Sitagliptin Strength,93a77494-4a97-4bd7-8bb1-560f0abd7c2d,50 mg,d2cc3b6c-bbde-4840-9ef9-bf76fe1f7fd0
