uuid,name,description,class,shortname,datatype,units,High Normal,Low Normal,synonym.1,answer.1,answer.2,answer.3,answer.4,reference-term-source,reference-term-code,reference-term-relationship
9b8e1c45-8286-4ad3-b20e-bfae7d3e212e,Becadex (multivitamin) tablet for how times per day,,Misc,Becadex (multivitamin) tablet for how times per day,Numeric,,,,,,,,,,,
5bd89916-3af1-4af7-a79e-9fc795a7c475,Becadex (multivitamin) tablet for how many days,,Misc,Becadex (multivitamin) tablet for how many days,Numeric,,,,,,,,,,,
524abcfb-d2b0-46e4-9c18-c5c380adb862,Iron (Fersifol) Strength,,Misc,Iron (Fersifol) Strength,Coded,,,,,,,,,,,
524abcfb-d2b0-46e4-9c18-c5c380adb862,Iron (Fersifol) Strength,,Misc,Iron (Fersifol) Strength,Coded,,,,,,,,,,,
524abcfb-d2b0-46e4-9c18-c5c380adb862,Iron (Fersifol) Strength,,Misc,Iron (Fersifol) Strength,Coded,,,,,,,,,,,
524abcfb-d2b0-46e4-9c18-c5c380adb862,Iron (Fersifol) Strength,,Misc,Iron (Fersifol) Strength,Coded,,,,,,,,,,,
524abcfb-d2b0-46e4-9c18-c5c380adb862,Iron (Fersifol) Strength,,Misc,Iron (Fersifol) Strength,Coded,,,,,,,,,,,
524abcfb-d2b0-46e4-9c18-c5c380adb862,Iron (Fersifol) Strength,,Misc,Iron (Fersifol) Strength,Coded,,,,,,,,,,,
524abcfb-d2b0-46e4-9c18-c5c380adb862,Iron (Fersifol) Strength,,Misc,Iron (Fersifol) Strength,Coded,,,,,,,,,,,
2e827b9e-76cb-45bd-8207-a85653d6f4af,Iron (Fersifol) tablet for how times per day,,Misc,Iron (Fersifol) tablet for how times per day,Numeric,,,,,,,,,,,
c74fd564-30b7-4b4b-a7e7-b93cb189f359,Iron (Fersifol) tablet for how many days,,Misc,Iron (Fersifol) tablet for how many days,Numeric,,,,,,,,,,,
6b3c1744-f643-499d-8581-8b0b4a4017bd,Paracetamol Strength,,Misc,Paracetamol Strength,Coded,,,,,,,,,,,
6b3c1744-f643-499d-8581-8b0b4a4017bd,Paracetamol Strength,,Misc,Paracetamol Strength,Coded,,,,,,,,,,,
6b3c1744-f643-499d-8581-8b0b4a4017bd,Paracetamol Strength,,Misc,Paracetamol Strength,Coded,,,,,,,,,,,
f91a06d7-69c5-443f-b97e-60bb981afca7,Paracetamol tablet for how times per day,,Misc,Paracetamol tablet for how times per day,Numeric,,,,,,,,,,,
4aab6b40-dfc4-4bcb-b413-36689b651a42,Paracetamol tablet for how many days,,Misc,Paracetamol tablet for how many days,Numeric,,,,,,,,,,,
feec4205-8f1e-4b8e-929f-f8c0664e34d4,Furosemide Strength,,Misc,Furosemide Strength,Coded,,,,,,,,,,,
feec4205-8f1e-4b8e-929f-f8c0664e34d4,Furosemide Strength,,Misc,Furosemide Strength,Coded,,,,,,,,,,,
feec4205-8f1e-4b8e-929f-f8c0664e34d4,Furosemide Strength,,Misc,Furosemide Strength,Coded,,,,,,,,,,,
feec4205-8f1e-4b8e-929f-f8c0664e34d4,Furosemide Strength,,Misc,Furosemide Strength,Coded,,,,,,,,,,,
feec4205-8f1e-4b8e-929f-f8c0664e34d4,Furosemide Strength,,Misc,Furosemide Strength,Coded,,,,,,,,,,,
42c7dc3a-8600-4a56-90b6-09d66ae06c8a,Furosemide tablet for how times per day,,Misc,Furosemide tablet for how times per day,Numeric,,,,,,,,,,,
8e7106bd-d9ab-48e4-8200-60707101f34f,Furosemide tablet for how many days,,Misc,Furosemide tablet for how many days,Numeric,,,,,,,,,,,
43ee5933-ba92-4a53-8d51-95423a293302,Spironolactone Strength,,Misc,Spironolactone Strength,Coded,,,,,,,,,,,
43ee5933-ba92-4a53-8d51-95423a293302,Spironolactone Strength,,Misc,Spironolactone Strength,Coded,,,,,,,,,,,
43ee5933-ba92-4a53-8d51-95423a293302,Spironolactone Strength,,Misc,Spironolactone Strength,Coded,,,,,,,,,,,
43ee5933-ba92-4a53-8d51-95423a293302,Spironolactone Strength,,Misc,Spironolactone Strength,Coded,,,,,,,,,,,
0da77abb-d8ab-4aa1-9b4d-34ec2e81d14a,Spironolactone tablet for how times per day,,Misc,Spironolactone tablet for how times per day,Numeric,,,,,,,,,,,
b3ae0b19-a4b1-4a80-aba4-510bef92fc6b,Spironolactone tablet for how many days,,Misc,Spironolactone tablet for how many days,Numeric,,,,,,,,,,,
d6e1be9d-0937-4708-869f-19c816c11d7c,Calcium Strength,,Misc,Calcium Strength,Coded,,,,,,,,,,,
d6e1be9d-0937-4708-869f-19c816c11d7c,Calcium Strength,,Misc,Calcium Strength,Coded,,,,,,,,,,,
d38544e2-77f3-4f83-ac43-db76e38593b6,Calcium tablet for how times per day,,Misc,Calcium tablet for how times per day,Numeric,,,,,,,,,,,
95ca8c1b-c012-428b-83d8-c9a210e19d57,Calcium tablet for how many days,,Misc,Calcium tablet for how many days,Numeric,,,,,,,,,,,
a7f6bc7b-5cd0-444f-9892-a923d2468b69,Famotidin Strength,,Misc,Famotidin Strength,Coded,,,,,,,,,,,
a7f6bc7b-5cd0-444f-9892-a923d2468b69,Famotidin Strength,,Misc,Famotidin Strength,Coded,,,,,,,,,,,
a7f6bc7b-5cd0-444f-9892-a923d2468b69,Famotidin Strength,,Misc,Famotidin Strength,Coded,,,,,,,,,,,
04459837-ec31-4a40-aed3-d721ab0c8a7a,Famotidin tablet for how times per day,,Misc,Famotidin tablet for how times per day,Numeric,,,,,,,,,,,
478caac9-3fba-4fe3-809a-d2d11fdb64d6,Famotidin tablet for how many days,,Misc,Famotidin tablet for how many days,Numeric,,,,,,,,,,,
74f118f7-60e9-4ea7-b671-894f49e2fd70,Omeprazole Strength,,Misc,Omeprazole Strength,Coded,,,,,,,,,,,
74f118f7-60e9-4ea7-b671-894f49e2fd70,Omeprazole Strength,,Misc,Omeprazole Strength,Coded,,,,,,,,,,,
74f118f7-60e9-4ea7-b671-894f49e2fd70,Omeprazole Strength,,Misc,Omeprazole Strength,Coded,,,,,,,,,,,
74f118f7-60e9-4ea7-b671-894f49e2fd70,Omeprazole Strength,,Misc,Omeprazole Strength,Coded,,,,,,,,,,,
74f118f7-60e9-4ea7-b671-894f49e2fd70,Omeprazole Strength,,Misc,Omeprazole Strength,Coded,,,,,,,,,,,
79ac62a8-4355-4fe8-ad6f-beb5b4faa5c7,Omeprazole tablet for how times per day,,Misc,Omeprazole tablet for how times per day,Numeric,,,,,,,,,,,
5e319446-80eb-499b-bac7-5687f34609ce,Omeprazole tablet for how many days,,Misc,Omeprazole tablet for how many days,Numeric,,,,,,,,,,,
93a77494-4a97-4bd7-8bb1-560f0abd7c2d,Sitagliptin Strength,,Misc,Sitagliptin Strength,Coded,,,,,,,,,,,
93a77494-4a97-4bd7-8bb1-560f0abd7c2d,Sitagliptin Strength,,Misc,Sitagliptin Strength,Coded,,,,,,,,,,,
93a77494-4a97-4bd7-8bb1-560f0abd7c2d,Sitagliptin Strength,,Misc,Sitagliptin Strength,Coded,,,,,,,,,,,
93a77494-4a97-4bd7-8bb1-560f0abd7c2d,Sitagliptin Strength,,Misc,Sitagliptin Strength,Coded,,,,,,,,,,,
93a77494-4a97-4bd7-8bb1-560f0abd7c2d,Sitagliptin Strength,,Misc,Sitagliptin Strength,Coded,,,,,,,,,,,
93a77494-4a97-4bd7-8bb1-560f0abd7c2d,Sitagliptin Strength,,Misc,Sitagliptin Strength,Coded,,,,,,,,,,,
a173836e-a0f8-4210-bc02-06aeebef2e8b,Sitagliptin tablet for how times per day,,Misc,Sitagliptin tablet for how times per day,Numeric,,,,,,,,,,,
5cd8d685-030c-45c8-aa20-cd169ea0dd6f,Sitagliptin tablet for how many days,,Misc,Sitagliptin tablet for how many days,Numeric,,,,,,,,,,,
5016912d-5d2e-4bee-82f3-0c4f08fbd0b6,Saxagliptin Strength,,Misc,Saxagliptin Strength,Coded,,,,,,,,,,,
5016912d-5d2e-4bee-82f3-0c4f08fbd0b6,Saxagliptin Strength,,Misc,Saxagliptin Strength,Coded,,,,,,,,,,,
5016912d-5d2e-4bee-82f3-0c4f08fbd0b6,Saxagliptin Strength,,Misc,Saxagliptin Strength,Coded,,,,,,,,,,,
5016912d-5d2e-4bee-82f3-0c4f08fbd0b6,Saxagliptin Strength,,Misc,Saxagliptin Strength,Coded,,,,,,,,,,,
5016912d-5d2e-4bee-82f3-0c4f08fbd0b6,Saxagliptin Strength,,Misc,Saxagliptin Strength,Coded,,,,,,,,,,,
5016912d-5d2e-4bee-82f3-0c4f08fbd0b6,Saxagliptin Strength,,Misc,Saxagliptin Strength,Coded,,,,,,,,,,,
2b22c914-d355-49b0-833e-21125ab0c430,Saxagliptin tablet for how times per day,,Misc,Saxagliptin tablet for how times per day,Numeric,,,,,,,,,,,
95b86823-329e-4cc8-8d97-d477d7fc0cc0,Saxagliptin tablet for how many days,,Misc,Saxagliptin tablet for how many days,Numeric,,,,,,,,,,,
6ad0f77b-6a81-4b68-987c-8e291c1e067a,Linagliptin Strength,,Misc,Linagliptin Strength,Coded,,,,,,,,,,,
6ad0f77b-6a81-4b68-987c-8e291c1e067a,Linagliptin Strength,,Misc,Linagliptin Strength,Coded,,,,,,,,,,,
6ad0f77b-6a81-4b68-987c-8e291c1e067a,Linagliptin Strength,,Misc,Linagliptin Strength,Coded,,,,,,,,,,,
6ad0f77b-6a81-4b68-987c-8e291c1e067a,Linagliptin Strength,,Misc,Linagliptin Strength,Coded,,,,,,,,,,,
174b4a7a-4922-4ddf-bac3-2df700791320,Linagliptin tablet for how times per day,,Misc,Linagliptin tablet for how times per day,Numeric,,,,,,,,,,,
744a2050-a0f0-4018-86df-60aec8dbdf04,Linagliptin tablet for how many days,,Misc,Linagliptin tablet for how many days,Numeric,,,,,,,,,,,
670d4217-bba4-4a2f-be76-ab387f688c8f,Counselling points of diabetes enrolment,,Misc,Counselling points of diabetes enrolment,Coded,,,,,,,,,,,
670d4217-bba4-4a2f-be76-ab387f688c8f,Counselling points of diabetes enrolment,,Misc,Counselling points of diabetes enrolment,Coded,,,,,,,,,,,
ce040acc-8cb2-4d31-990d-ffc52d90949c,Initial counselling done,,Misc,Initial counselling done,Coded,,,,,,,,,,,
ce040acc-8cb2-4d31-990d-ffc52d90949c,Initial counselling done,,Misc,Initial counselling done,Coded,,,,,,,,,,,
26ca2feb-d6b5-4eae-9e3c-b0302646fc73,Next visit date,,Misc,Next visit date,Date,,,,,,,,,,,
5b570434-5ef2-4933-8dc7-0e809dbdc2fd,Place of follow up,,Misc,Place of follow up,Coded,,,,,,,,,,,
5b570434-5ef2-4933-8dc7-0e809dbdc2fd,Place of follow up,,Misc,Place of follow up,Coded,,,,,,,,,,,
5b570434-5ef2-4933-8dc7-0e809dbdc2fd,Place of follow up,,Misc,Place of follow up,Coded,,,,,,,,,,,
5b570434-5ef2-4933-8dc7-0e809dbdc2fd,Place of follow up,,Misc,Place of follow up,Coded,,,,,,,,,,,
5b570434-5ef2-4933-8dc7-0e809dbdc2fd,Place of follow up,,Misc,Place of follow up,Coded,,,,,,,,,,,
5b570434-5ef2-4933-8dc7-0e809dbdc2fd,Place of follow up,,Misc,Place of follow up,Coded,,,,,,,,,,,
23bcad9f-ec16-46ec-92f5-e144411e5dec,Height,,Misc,Height,Numeric,,,,,,,,,,,
8d947379-7a1d-48b2-8760-88fff6add987,Weight,,Misc,Weight,Numeric,,,,,,,,,,,
a205563d-0ac2-4955-93ac-e2e7adebb56e,BMI,,Misc,BMI,Numeric,,,,,,,,,,,
64427511-b331-495d-81eb-8f8e51e5b5e8,Waist circumference,,Misc,Waist circumference,Numeric,,,,,,,,,,,
3a4b0a77-1d36-43de-aee2-29802a2ce5d3,Waist hip ratio,,Misc,Waist hip ratio,Text,,,,,,,,,,,
6874d48e-8c2f-4009-992c-1d3ca1678cc6,Blood Pressure (systolic),,Misc,Blood Pressure (systolic),Numeric,,,,,,,,,,,
da871f6c-cef0-4191-b307-6751b31ac9ec,Blood Pressure (Diastolic),,Misc,Blood Pressure (Diastolic),Numeric,,,,,,,,,,,
e4721a46-8949-4268-bb29-8cf8a91b7599,Doing well?,,Misc,Doing well?,Coded,,,,,,,,,,,
e4721a46-8949-4268-bb29-8cf8a91b7599,Doing well?,,Misc,Doing well?,Coded,,,,,,,,,,,
7b9129a5-b168-4afb-91f4-4eacefcb3a90,Any new complaint,,Misc,Any new complaint,Coded,,,,,,,,,,,
7b9129a5-b168-4afb-91f4-4eacefcb3a90,Any new complaint,,Misc,Any new complaint,Coded,,,,,,,,,,,
656a6817-b193-4964-8286-36b4abc1a05c,Diabetes existing complications,,Misc,Diabetes existing complications,Coded,,,,,,,,,,,
656a6817-b193-4964-8286-36b4abc1a05c,Diabetes existing complications,,Misc,Diabetes existing complications,Coded,,,,,,,,,,,
656a6817-b193-4964-8286-36b4abc1a05c,Diabetes existing complications,,Misc,Diabetes existing complications,Coded,,,,,,,,,,,
656a6817-b193-4964-8286-36b4abc1a05c,Diabetes existing complications,,Misc,Diabetes existing complications,Coded,,,,,,,,,,,
656a6817-b193-4964-8286-36b4abc1a05c,Diabetes existing complications,,Misc,Diabetes existing complications,Coded,,,,,,,,,,,
656a6817-b193-4964-8286-36b4abc1a05c,Diabetes existing complications,,Misc,Diabetes existing complications,Coded,,,,,,,,,,,
656a6817-b193-4964-8286-36b4abc1a05c,Diabetes existing complications,,Misc,Diabetes existing complications,Coded,,,,,,,,,,,
656a6817-b193-4964-8286-36b4abc1a05c,Diabetes existing complications,,Misc,Diabetes existing complications,Coded,,,,,,,,,,,
656a6817-b193-4964-8286-36b4abc1a05c,Diabetes existing complications,,Misc,Diabetes existing complications,Coded,,,,,,,,,,,
656a6817-b193-4964-8286-36b4abc1a05c,Diabetes existing complications,,Misc,Diabetes existing complications,Coded,,,,,,,,,,,
656a6817-b193-4964-8286-36b4abc1a05c,Diabetes existing complications,,Misc,Diabetes existing complications,Coded,,,,,,,,,,,
656a6817-b193-4964-8286-36b4abc1a05c,Diabetes existing complications,,Misc,Diabetes existing complications,Coded,,,,,,,,,,,
656a6817-b193-4964-8286-36b4abc1a05c,Diabetes existing complications,,Misc,Diabetes existing complications,Coded,,,,,,,,,,,
fb34a579-8778-4ea4-a04c-56d5bd61758a,"If yes, what complaint",,Misc,"If yes, what complaint",Text,,,,,,,,,,,
cf1d3e53-58b2-4e65-97fe-fa1ea03262fb,Specify other complaint,,Misc,Specify other complaint,Text,,,,,,,,,,,
9a839d5e-b113-4168-83a8-f47b76bff0cb,No.of days medicine taken previous month,,Misc,No.of days medicine taken previous month,Numeric,,,,,,,,,,,
681fce2b-ea38-4651-a0b8-2cddd307ade7,Aadhaar ID,,Misc,Aadhaar ID,Numeric,,,,,,,,,,,
e32c3092-b22c-4320-95aa-3fcd51a3e5d3,Compliance of previous month,,Misc,Compliance of previous month,Text,,,,,,,,,,,
455f8f23-7e78-45b1-97d2-b0a6bb048f3d,Reasons for not taking medicines,,Misc,Reasons for not taking medicines,Coded,,,,,,,,,,,
455f8f23-7e78-45b1-97d2-b0a6bb048f3d,Reasons for not taking medicines,,Misc,Reasons for not taking medicines,Coded,,,,,,,,,,,
455f8f23-7e78-45b1-97d2-b0a6bb048f3d,Reasons for not taking medicines,,Misc,Reasons for not taking medicines,Coded,,,,,,,,,,,
455f8f23-7e78-45b1-97d2-b0a6bb048f3d,Reasons for not taking medicines,,Misc,Reasons for not taking medicines,Coded,,,,,,,,,,,
455f8f23-7e78-45b1-97d2-b0a6bb048f3d,Reasons for not taking medicines,,Misc,Reasons for not taking medicines,Coded,,,,,,,,,,,
455f8f23-7e78-45b1-97d2-b0a6bb048f3d,Reasons for not taking medicines,,Misc,Reasons for not taking medicines,Coded,,,,,,,,,,,
455f8f23-7e78-45b1-97d2-b0a6bb048f3d,Reasons for not taking medicines,,Misc,Reasons for not taking medicines,Coded,,,,,,,,,,,
455f8f23-7e78-45b1-97d2-b0a6bb048f3d,Reasons for not taking medicines,,Misc,Reasons for not taking medicines,Coded,,,,,,,,,,,
455f8f23-7e78-45b1-97d2-b0a6bb048f3d,Reasons for not taking medicines,,Misc,Reasons for not taking medicines,Coded,,,,,,,,,,,
455f8f23-7e78-45b1-97d2-b0a6bb048f3d,Reasons for not taking medicines,,Misc,Reasons for not taking medicines,Coded,,,,,,,,,,,
09cc4da8-3b67-42dc-88b4-ebd91bc495ea,Other reasons for not taking medicines,,Misc,Other reasons for not taking medicines,Text,,,,,,,,,,,
b2591025-2991-4b02-a08d-65c617e4d95a,side effects of drugs,,Misc,side effects of drugs,Coded,,,,,,,,,,,
b2591025-2991-4b02-a08d-65c617e4d95a,side effects of drugs,,Misc,side effects of drugs,Coded,,,,,,,,,,,
b2591025-2991-4b02-a08d-65c617e4d95a,side effects of drugs,,Misc,side effects of drugs,Coded,,,,,,,,,,,
b2591025-2991-4b02-a08d-65c617e4d95a,side effects of drugs,,Misc,side effects of drugs,Coded,,,,,,,,,,,
b2591025-2991-4b02-a08d-65c617e4d95a,side effects of drugs,,Misc,side effects of drugs,Coded,,,,,,,,,,,
b2591025-2991-4b02-a08d-65c617e4d95a,side effects of drugs,,Misc,side effects of drugs,Coded,,,,,,,,,,,
b2591025-2991-4b02-a08d-65c617e4d95a,side effects of drugs,,Misc,side effects of drugs,Coded,,,,,,,,,,,
b2591025-2991-4b02-a08d-65c617e4d95a,side effects of drugs,,Misc,side effects of drugs,Coded,,,,,,,,,,,
b2591025-2991-4b02-a08d-65c617e4d95a,side effects of drugs,,Misc,side effects of drugs,Coded,,,,,,,,,,,
b2591025-2991-4b02-a08d-65c617e4d95a,side effects of drugs,,Misc,side effects of drugs,Coded,,,,,,,,,,,
b2591025-2991-4b02-a08d-65c617e4d95a,side effects of drugs,,Misc,side effects of drugs,Coded,,,,,,,,,,,
b2591025-2991-4b02-a08d-65c617e4d95a,side effects of drugs,,Misc,side effects of drugs,Coded,,,,,,,,,,,
b2591025-2991-4b02-a08d-65c617e4d95a,side effects of drugs,,Misc,side effects of drugs,Coded,,,,,,,,,,,
b2591025-2991-4b02-a08d-65c617e4d95a,side effects of drugs,,Misc,side effects of drugs,Coded,,,,,,,,,,,
b2591025-2991-4b02-a08d-65c617e4d95a,side effects of drugs,,Misc,side effects of drugs,Coded,,,,,,,,,,,
b2591025-2991-4b02-a08d-65c617e4d95a,side effects of drugs,,Misc,side effects of drugs,Coded,,,,,,,,,,,
b2591025-2991-4b02-a08d-65c617e4d95a,side effects of drugs,,Misc,side effects of drugs,Coded,,,,,,,,,,,
b2591025-2991-4b02-a08d-65c617e4d95a,side effects of drugs,,Misc,side effects of drugs,Coded,,,,,,,,,,,
e32c3092-b22c-4320-95aa-3fcd51a3e5d3,Compliance of previous month,,Misc,Compliance of previous month,Text,,,,,,,,,,,
adf212d8-d497-4a48-95ee-093d8601ae54,Complian (voided~68956),,Misc,Complian (voided~68956),Coded,,,,,,,,,,,
adf212d8-d497-4a48-95ee-093d8601ae54,Complian (voided~68956),,Misc,Complian (voided~68956),Coded,,,,,,,,,,,
cf66bd9d-1a74-47b6-8af8-cbaed18a03b7,Other side effects of drugs,,Misc,Other side effects of drugs,Text,,,,,,,,,,,
122dc41e-4de9-47fd-8342-beb572cc1ab1,Taking medicine correctly?,,Misc,Taking medicine correctly?,Coded,,,,,,,,,,,
122dc41e-4de9-47fd-8342-beb572cc1ab1,Taking medicine correctly?,,Misc,Taking medicine correctly?,Coded,,,,,,,,,,,
f9370248-89cc-4528-b41e-6a44bbb4708b,"If not taking medicine correctly, why?",,Misc,"If not taking medicine correctly, why?",Coded,,,,,,,,,,,
f9370248-89cc-4528-b41e-6a44bbb4708b,"If not taking medicine correctly, why?",,Misc,"If not taking medicine correctly, why?",Coded,,,,,,,,,,,
f9370248-89cc-4528-b41e-6a44bbb4708b,"If not taking medicine correctly, why?",,Misc,"If not taking medicine correctly, why?",Coded,,,,,,,,,,,
f9370248-89cc-4528-b41e-6a44bbb4708b,"If not taking medicine correctly, why?",,Misc,"If not taking medicine correctly, why?",Coded,,,,,,,,,,,
f3995f52-bd72-48ec-9e35-052a9b9c52ce,Specify other problem for not taking medicines correctly,,Misc,Specify other problem for not taking medicines correctly,Text,,,,,,,,,,,
d7113820-5412-41d8-92f7-a6b2f6728fa0,Hypoglycemia episode,,Misc,Hypoglycemia episode,Coded,,,,,,,,,,,
d7113820-5412-41d8-92f7-a6b2f6728fa0,Hypoglycemia episode,,Misc,Hypoglycemia episode,Coded,,,,,,,,,,,
33572744-c4c6-4f3c-bcce-af016efc61d4,"If yes, timing",,Misc,"If yes, timing",Coded,,,,,,,,,,,
33572744-c4c6-4f3c-bcce-af016efc61d4,"If yes, timing",,Misc,"If yes, timing",Coded,,,,,,,,,,,
39bac4c9-d312-490d-8e1c-2c42da978fea,Patient Treatment Status,,Misc,Patient Treatment Status,Text,,,,,,,,,,,
77a5d630-7c66-4880-94f0-b552b4e8a7d7,Patients treatment status,,Misc,Patients treatment status,Coded,,,,,,,,,,,
77a5d630-7c66-4880-94f0-b552b4e8a7d7,Patients treatment status,,Misc,Patients treatment status,Coded,,,,,,,,,,,
77a5d630-7c66-4880-94f0-b552b4e8a7d7,Patients treatment status,,Misc,Patients treatment status,Coded,,,,,,,,,,,
77a5d630-7c66-4880-94f0-b552b4e8a7d7,Patients treatment status,,Misc,Patients treatment status,Coded,,,,,,,,,,,
2dec74fc-a96c-452d-acc4-47bccfbf1e3b,Tobacco/Alcohol intake of previous month,,Misc,Tobacco/Alcohol intake of previous month,Coded,,,,,,,,,,,
2dec74fc-a96c-452d-acc4-47bccfbf1e3b,Tobacco/Alcohol intake of previous month,,Misc,Tobacco/Alcohol intake of previous month,Coded,,,,,,,,,,,
2dec74fc-a96c-452d-acc4-47bccfbf1e3b,Tobacco/Alcohol intake of previous month,,Misc,Tobacco/Alcohol intake of previous month,Coded,,,,,,,,,,,
2dec74fc-a96c-452d-acc4-47bccfbf1e3b,Tobacco/Alcohol intake of previous month,,Misc,Tobacco/Alcohol intake of previous month,Coded,,,,,,,,,,,
2dec74fc-a96c-452d-acc4-47bccfbf1e3b,Tobacco/Alcohol intake of previous month,,Misc,Tobacco/Alcohol intake of previous month,Coded,,,,,,,,,,,
2dec74fc-a96c-452d-acc4-47bccfbf1e3b,Tobacco/Alcohol intake of previous month,,Misc,Tobacco/Alcohol intake of previous month,Coded,,,,,,,,,,,
2dec74fc-a96c-452d-acc4-47bccfbf1e3b,Tobacco/Alcohol intake of previous month,,Misc,Tobacco/Alcohol intake of previous month,Coded,,,,,,,,,,,
6b662df4-c8c9-483f-b46c-e89f98f8766f,Having any side effects of drug,,Misc,Having any side effects of drug,Coded,,,,,,,,,,,
6b662df4-c8c9-483f-b46c-e89f98f8766f,Having any side effects of drug,,Misc,Having any side effects of drug,Coded,,,,,,,,,,,
4a7fd949-ba3b-4dd3-aee1-ba44ac940150,Habit,,Misc,Habit,Coded,,,,,,,,,,,
4a7fd949-ba3b-4dd3-aee1-ba44ac940150,Habit,,Misc,Habit,Coded,,,,,,,,,,,
4a7fd949-ba3b-4dd3-aee1-ba44ac940150,Habit,,Misc,Habit,Coded,,,,,,,,,,,
1ab949d4-6ee4-4b0e-a82e-22a584982db8,Type of habit,,Misc,Type of habit,Coded,,,,,,,,,,,
1ab949d4-6ee4-4b0e-a82e-22a584982db8,Type of habit,,Misc,Type of habit,Coded,,,,,,,,,,,
1ab949d4-6ee4-4b0e-a82e-22a584982db8,Type of habit,,Misc,Type of habit,Coded,,,,,,,,,,,
fc01f8b8-0c05-4bea-b740-c55571353272,Addiction,,Misc,Addiction,Coded,,,,,,,,,,,
fc01f8b8-0c05-4bea-b740-c55571353272,Addiction,,Misc,Addiction,Coded,,,,,,,,,,,
fc01f8b8-0c05-4bea-b740-c55571353272,Addiction,,Misc,Addiction,Coded,,,,,,,,,,,
fc01f8b8-0c05-4bea-b740-c55571353272,Addiction,,Misc,Addiction,Coded,,,,,,,,,,,
fc01f8b8-0c05-4bea-b740-c55571353272,Addiction,,Misc,Addiction,Coded,,,,,,,,,,,
fc01f8b8-0c05-4bea-b740-c55571353272,Addiction,,Misc,Addiction,Coded,,,,,,,,,,,
fc01f8b8-0c05-4bea-b740-c55571353272,Addiction,,Misc,Addiction,Coded,,,,,,,,,,,
1ab949d4-6ee4-4b0e-a82e-22a584982db8,Type of habit,,Misc,Type of habit,Coded,,,,,,,,,,,
1ab949d4-6ee4-4b0e-a82e-22a584982db8,Type of habit,,Misc,Type of habit,Coded,,,,,,,,,,,
1ab949d4-6ee4-4b0e-a82e-22a584982db8,Type of habit,,Misc,Type of habit,Coded,,,,,,,,,,,
72700872-c2ee-4e7e-8d9c-7ba874dd34df,Eye status,,Misc,Eye status,Coded,,,,,,,,,,,
72700872-c2ee-4e7e-8d9c-7ba874dd34df,Eye status,,Misc,Eye status,Coded,,,,,,,,,,,
72700872-c2ee-4e7e-8d9c-7ba874dd34df,Eye status,,Misc,Eye status,Coded,,,,,,,,,,,
72700872-c2ee-4e7e-8d9c-7ba874dd34df,Eye status,,Misc,Eye status,Coded,,,,,,,,,,,
72700872-c2ee-4e7e-8d9c-7ba874dd34df,Eye status,,Misc,Eye status,Coded,,,,,,,,,,,
72700872-c2ee-4e7e-8d9c-7ba874dd34df,Eye status,,Misc,Eye status,Coded,,,,,,,,,,,
72700872-c2ee-4e7e-8d9c-7ba874dd34df,Eye status,,Misc,Eye status,Coded,,,,,,,,,,,
72700872-c2ee-4e7e-8d9c-7ba874dd34df,Eye status,,Misc,Eye status,Coded,,,,,,,,,,,
72700872-c2ee-4e7e-8d9c-7ba874dd34df,Eye status,,Misc,Eye status,Coded,,,,,,,,,,,
72700872-c2ee-4e7e-8d9c-7ba874dd34df,Eye status,,Misc,Eye status,Coded,,,,,,,,,,,
72700872-c2ee-4e7e-8d9c-7ba874dd34df,Eye status,,Misc,Eye status,Coded,,,,,,,,,,,
72700872-c2ee-4e7e-8d9c-7ba874dd34df,Eye status,,Misc,Eye status,Coded,,,,,,,,,,,
72700872-c2ee-4e7e-8d9c-7ba874dd34df,Eye status,,Misc,Eye status,Coded,,,,,,,,,,,
5b562ece-02c0-4979-805f-e4cea5e6dea8,Followup teeth status,,Misc,Followup teeth status,Coded,,,,,,,,,,,
5b562ece-02c0-4979-805f-e4cea5e6dea8,Followup teeth status,,Misc,Followup teeth status,Coded,,,,,,,,,,,
5b562ece-02c0-4979-805f-e4cea5e6dea8,Followup teeth status,,Misc,Followup teeth status,Coded,,,,,,,,,,,
5b562ece-02c0-4979-805f-e4cea5e6dea8,Followup teeth status,,Misc,Followup teeth status,Coded,,,,,,,,,,,
5eec64bb-3cfb-4d9e-bd59-4e8344fd9be0,Nail Status,,Misc,Nail Status,Coded,,,,,,,,,,,
5eec64bb-3cfb-4d9e-bd59-4e8344fd9be0,Nail Status,,Misc,Nail Status,Coded,,,,,,,,,,,
5eec64bb-3cfb-4d9e-bd59-4e8344fd9be0,Nail Status,,Misc,Nail Status,Coded,,,,,,,,,,,
5eec64bb-3cfb-4d9e-bd59-4e8344fd9be0,Nail Status,,Misc,Nail Status,Coded,,,,,,,,,,,
5f904bfd-c71f-42f3-9ce0-c985ecd54cc6,"Radial, dorsalis pedis",,Misc,"Radial, dorsalis pedis",Coded,,,,,,,,,,,
5f904bfd-c71f-42f3-9ce0-c985ecd54cc6,"Radial, dorsalis pedis",,Misc,"Radial, dorsalis pedis",Coded,,,,,,,,,,,
5f904bfd-c71f-42f3-9ce0-c985ecd54cc6,"Radial, dorsalis pedis",,Misc,"Radial, dorsalis pedis",Coded,,,,,,,,,,,
b9364c46-9f4b-45e3-8c49-997c5e1ce168,Sensory charting,,Misc,Sensory charting,Coded,,,,,,,,,,,
